geographic_area_m49_fi,measured_item_faostat_l2,measured_element,start_year,end_year,share
40,1501,5141,1948,LAST,1
40,1502,5141,1948,LAST,1
40,1503,5141,1948,LAST,1
40,1504,5141,1948,LAST,1
40,1505,5141,1948,LAST,1
40,1506,5141,1948,LAST,1
40,1507,5141,1948,LAST,1
40,1514,5141,1948,LAST,1
40,1515,5141,1948,LAST,1
40,1516,5141,1948,LAST,1
40,1517,5141,1948,LAST,1
40,1518,5141,1948,LAST,1
40,1519,5141,1948,LAST,1
40,1520,5141,1948,LAST,1
40,1527,5141,1948,LAST,1
40,1528,5141,1948,LAST,1
40,1529,5141,1948,LAST,1
40,1530,5141,1948,LAST,1
40,1531,5141,1948,LAST,1
40,1532,5141,1948,LAST,1
40,1533,5141,1948,LAST,1
40,1534,5520,1948,LAST,1
40,1540,5141,1948,LAST,1
40,1541,5141,1948,LAST,1
40,1542,5141,1948,LAST,1
40,1543,5141,1948,LAST,1
40,1544,5141,1948,LAST,1
40,1545,5141,1948,LAST,1
40,1546,5141,1948,LAST,1
40,1548,5166,1948,LAST,1
40,1549,5141,1948,LAST,1
40,1550,5520,1948,LAST,1
40,1553,5141,1948,LAST,1
40,1554,5141,1948,LAST,1
40,1556,5141,1948,LAST,1
40,1557,5141,1948,LAST,1
40,1562,5141,1948,LAST,1
40,1563,5141,1948,LAST,1
40,1564,5141,1948,LAST,1
40,1565,5141,1948,LAST,1
40,1570,5141,1948,LAST,1
40,1571,5141,1948,LAST,1
40,1582,5166,1948,LAST,1
40,1590,5141,1948,LAST,1
40,1591,5166,1948,LAST,1
40,1594,5166,1948,LAST,1
40,1523,5166,1948,LAST,1
40,1572,5141,1948,LAST,1
40,1573,5141,1948,LAST,1
40,1587,5141,1948,LAST,1
40,1588,5141,1948,LAST,1
156,1501,5141,1948,LAST,1
156,1502,5141,1948,LAST,1
156,1505,5141,1948,LAST,1
156,1506,5141,1948,LAST,1
156,1514,5141,1948,LAST,1
156,1515,5141,1948,LAST,1
156,1518,5141,1948,LAST,1
156,1520,5141,1948,LAST,1
156,1527,5141,1948,LAST,1
156,1528,5141,1948,LAST,1
156,1531,5141,1948,LAST,1
156,1532,5141,1948,LAST,1
156,1533,5141,1948,LAST,1
156,1534,5520,1948,LAST,1
156,1537,5520,1948,LAST,1
156,1540,5141,1948,LAST,1
156,1541,5141,1948,LAST,1
156,1542,5141,1948,LAST,1
156,1543,5141,1948,LAST,1
156,1545,5141,1948,LAST,1
156,1546,5141,1948,LAST,1
156,1548,5166,1948,LAST,1
156,1549,5141,1948,LAST,1
156,1550,5520,1948,LAST,1
156,1553,5141,1948,LAST,1
156,1554,5141,1948,LAST,1
156,1555,5141,1948,LAST,1
156,1556,5141,1948,LAST,1
156,1559,5520,1948,LAST,1
156,1562,5141,1948,LAST,1
156,1563,5141,1948,LAST,1
156,1565,5141,1948,LAST,1
156,1567,5166,1948,LAST,1
156,1570,5141,1948,LAST,1
156,1571,5141,1948,LAST,1
156,1573,5141,1948,LAST,1
156,1582,5520,1948,LAST,1
156,1587,5141,1948,LAST,1
156,1588,5141,1948,LAST,1
156,1590,5141,1948,LAST,1
156,1591,5166,1948,LAST,1
156,1594,5023,1948,LAST,1
156,1595,5141,1948,LAST,1
156,1504,5141,1948,LAST,1
156,1517,5141,1948,LAST,1
156,1530,5141,1948,LAST,1
156,1503,5141,1948,LAST,1
156,1507,5141,1948,LAST,1
156,1557,5141,1948,LAST,1
203,1501,5141,1948,LAST,1
203,1502,5141,1948,LAST,1
203,1503,5141,1948,LAST,1
203,1504,5141,1948,LAST,1
203,1505,5141,1948,LAST,1
203,1506,5141,1948,LAST,1
203,1507,5141,1948,LAST,1
203,1514,5141,1948,LAST,1
203,1515,5141,1948,LAST,1
203,1516,5141,1948,LAST,1
203,1517,5141,1948,LAST,1
203,1518,5141,1948,LAST,1
203,1519,5141,1948,LAST,1
203,1520,5141,1948,LAST,1
203,1527,5141,1948,LAST,1
203,1528,5141,1948,LAST,1
203,1531,5141,1948,LAST,1
203,1532,5141,1948,LAST,1
203,1533,5141,1948,LAST,1
203,1534,5520,1948,LAST,1
203,1540,5141,1948,LAST,1
203,1541,5141,1948,LAST,1
203,1542,5141,1948,LAST,1
203,1543,5141,1948,LAST,1
203,1544,5141,1948,LAST,1
203,1545,5141,1948,LAST,1
203,1546,5141,1948,LAST,1
203,1548,5166,1948,LAST,1
203,1549,5166,1948,LAST,1
203,1550,5520,1948,LAST,1
203,1553,5141,1948,LAST,1
203,1554,5141,1948,LAST,1
203,1556,5141,1948,LAST,1
203,1557,5141,1948,LAST,1
203,1562,5141,1948,LAST,1
203,1563,5141,1948,LAST,1
203,1564,5141,1948,LAST,1
203,1565,5141,1948,LAST,1
203,1570,5141,1948,LAST,1
203,1571,5141,1948,LAST,1
203,1572,5141,1948,LAST,1
203,1590,5141,1948,LAST,1
203,1591,5166,1948,LAST,1
203,1594,5166,1948,LAST,1
203,1529,5141,1948,LAST,1
203,1582,5166,1948,LAST,1
203,1523,5166,1948,LAST,1
203,1587,5141,1948,LAST,1
203,1588,5141,1948,LAST,1
246,1501,5141,1948,LAST,1
246,1502,5141,1948,LAST,1
246,1503,5141,1948,LAST,1
246,1504,5141,1948,LAST,1
246,1505,5141,1948,LAST,1
246,1506,5141,1948,LAST,1
246,1514,5141,1948,LAST,1
246,1515,5141,1948,LAST,1
246,1516,5141,1948,LAST,1
246,1517,5141,1948,LAST,1
246,1518,5141,1948,LAST,1
246,1519,5141,1948,LAST,1
246,1520,5141,1948,LAST,1
246,1527,5141,1948,LAST,1
246,1528,5141,1948,LAST,1
246,1529,5141,1948,LAST,1
246,1530,5141,1948,LAST,1
246,1531,5141,1948,LAST,1
246,1532,5141,1948,LAST,1
246,1533,5141,1948,LAST,1
246,1534,5520,1948,LAST,1
246,1540,5141,1948,LAST,1
246,1541,5141,1948,LAST,1
246,1542,5141,1948,LAST,1
246,1543,5141,1948,LAST,1
246,1544,5141,1948,LAST,1
246,1545,5141,1948,LAST,1
246,1546,5141,1948,LAST,1
246,1548,5520,1948,LAST,1
246,1549,5166,1948,LAST,1
246,1550,5520,1948,LAST,1
246,1553,5141,1948,LAST,1
