ics,isscaap,asfis,description
1501,11,AHL,Blackbrow bleak
1501,11,AAX,NA
1501,11,ABB,Chinese false gudgeon
1501,11,ABE,NA
1501,11,ABK,White bream
1501,11,AHS,NA
1501,11,AHT,Kinneret bleak
1501,11,BTO,Mottled loach
1501,11,HPD,NA
1501,11,AHA,Russian bitterling
1501,11,TPC,Horseface loach
1501,11,ATA,NA
1501,11,ATL,Oily bitterling
1501,11,ATN,NA
1501,11,ATR,NA
1501,11,ATT,NA
1501,11,ARC,Chiselmouth
1501,11,ARH,Copper mahseer
1501,11,AGE,Longfin dace
1501,11,ABA,NA
1501,11,ABI,Schneider
1501,11,ABD,NA
1501,11,ABL,Attentive carplet
1501,11,ABC,NA
1501,11,ABO,Mola carplet
1501,11,ABT,NA
1501,11,ANY,NA
1501,11,AZH,NA
1501,11,ANO,NA
1501,11,AYH,Chinese bleak
1501,11,ASJ,NA
1501,11,ARR,NA
1501,11,AUE,Pike asp
1501,11,AUH,Dalmatian barbelgudgeon
1501,11,BNB,Tricolor sharkminnow
1501,11,BTA,NA
1501,11,BNE,NA
1501,11,BTB,Stone loach
1501,11,BRN,NA
1501,11,BBA,Red tailed tinfoil
1501,11,BBR,NA
1501,11,BBT,NA
1501,11,BBC,NA
1501,11,BBV,Somalian blind barb
1501,11,BTD,NA
1501,11,BBN,Smallmouth yellowfish
1501,11,BBU,Ripon barbel
1501,11,BBI,NA
1501,11,BBB,NA
1501,11,BBK,Algerian barb
1501,11,BBQ,NA
1501,11,BBJ,Clanwilliam yellowfish
1501,11,BUE,NA
1501,11,BUG,NA
1501,11,BUH,NA
1501,11,BUO,Spotscale barb
1501,11,BUJ,NA
1501,11,BUL,Line-spotted barb
1501,11,BUN,NA
1501,11,BUI,Broadband barb
1501,11,BUQ,Largescale yellowfish
1501,11,BSM,Papermouth
1501,11,BUD,Mediterranean barbel
1501,11,BUY,NA
1501,11,BUU,Straightfin barb
1501,11,BSI,NA
1501,11,BSJ,NA
1501,11,BSL,Andalusian barbel
1501,11,BST,Threespot barb
1501,11,BSO,NA
1501,11,BSN,Slender barb
1501,11,BRR,NA
1501,11,BRL,NA
1501,11,BLA,NA
1501,11,BLD,NA
1501,11,BLO,Trout barb
1501,11,BRH,NA
1501,11,BRJ,NA
1501,11,BRV,NA
1501,11,BHS,NA
1501,11,BWZ,NA
1501,11,BOI,NA
1501,11,BOD,Bengal loach
1501,11,BOH,Tiger loach
1501,11,BDA,NA
1501,11,CUG,Congo blind barb
1501,11,YCB,NA
1501,11,MPL,Central stoneroller
1501,11,MPG,Largescale stoneroller
1501,11,OEC,Seven khramulya
1501,11,OED,NA
1501,11,OEK,Sharpray
1501,11,OEN,NA
1501,11,IUV,Japanese white crucian carp
1501,11,CDO,River carpsucker
1501,11,TCS,Giant barb
1501,11,ATC,Longnose sucker
1501,11,ATO,White sucker
1501,11,ATS,Flannelmouth sucker
