ics,measured_item_isscfc
1514,034.1.5.1.50
1501,034.1.3.9.90
1533,034.2.9.1.23
1594,292.9.1.78
1594,292.9.1.79
1501,034.1.4.5.20
1501,034.1.3.9.50
1514,034.1.5.1.25
1514,034.1.5.1.31
1514,034.1.5.1.32
1514,034.1.5.1.33
1514,034.1.5.1.41
1533,034.2.9.1.24
1514,034.1.5.1.42
1514,034.1.5.1.43
1514,034.1.5.1.44
1514,034.1.5.1.45
1514,034.1.5.1.60
1514,034.1.5.1.70
1514,034.1.5.2.51
1514,034.1.5.2.52
1514,034.1.5.2.61
1514,034.1.5.2.62
1507,034.2.9.1.26
1514,034.1.5.2.63
1514,034.1.5.2.64
1514,034.1.5.2.65
1514,034.1.5.2.69
1514,034.1.5.2.85
1514,034.1.5.3.02
1514,034.1.5.3.04
1514,034.1.5.4.01
1514,034.1.5.4.02
1514,034.1.5.4.03
1514,034.1.5.4.05
1514,034.1.5.4.06
1514,034.1.5.4.07
1514,034.1.5.3.18
1514,034.1.5.3.20
1514,034.1.5.3.22
1514,034.1.5.3.24
1514,034.1.5.3.26
1514,034.1.5.3.28
1514,034.1.5.3.30
1516,034.3.1.5.4.90
1514,034.1.5.3.32
1514,034.1.5.3.34
1514,034.1.5.3.38
1514,034.1.5.3.42
1514,034.1.5.3.44
1514,034.1.5.3.48
1514,034.1.5.4.08
1514,034.1.5.4.09
1514,034.1.5.4.11
1514,034.1.5.3.58
1514,034.1.5.3.60
1514,034.1.5.4.49
1514,034.1.5.4.42
1514,034.1.5.4.14
1514,034.1.5.3.66
1514,034.1.5.4.15
1514,034.1.5.3.72
1514,034.1.5.3.74
1514,034.1.5.4.16
1503,034.3.1.4.2.10
1502,034.2.4.5.10
1502,034.2.4.5.20
1502,034.2.3.9.50
1515,034.2.5.1.31
1515,034.2.5.1.32
1515,034.2.5.1.33
1515,034.2.5.1.41
1515,034.2.5.1.42
1515,034.2.5.1.43
1515,034.2.5.1.44
1515,034.2.5.1.45
1515,034.2.5.1.60
1515,034.2.5.1.70
1515,034.2.5.2.51
1515,034.2.5.2.52
1515,034.2.5.2.62
1515,034.2.5.2.63
1515,034.2.5.2.64
1515,034.2.5.2.65
1515,034.2.5.2.69
1504,034.4.1.4.2.10
1515,034.2.5.2.85
1515,034.2.5.3.02
1515,034.2.5.3.04
1515,034.2.5.4.01
1515,034.2.5.4.02
1515,034.2.5.4.03
1515,034.2.5.4.05
1515,034.2.5.4.06
1515,034.2.5.4.07
1515,034.2.5.3.18
1504,034.4.1.4.3.391
1515,034.2.5.3.26
1515,034.2.5.3.28
1515,034.2.5.3.32
1515,034.2.5.3.34
1515,034.2.5.3.38
1515,034.2.5.3.42
1515,034.2.5.3.44
1515,034.2.5.3.48
1515,034.2.5.4.08
1515,034.2.5.3.58
1501,034.1.4.1.10
1515,034.2.5.4.49
1515,034.2.5.4.42
1515,034.2.5.4.14
1515,034.2.5.3.66
1515,034.2.5.4.15
1515,034.2.5.3.72
1515,034.2.5.4.16
1503,034.3.1.4.5.90
1503,034.3.1.3.9.50
1516,034.3.1.5.1.25
1516,034.3.1.5.1.32
1516,034.3.1.5.1.33
1516,034.3.1.5.1.41
1516,034.3.1.5.1.42
1516,034.3.1.5.1.43
1516,034.3.1.5.1.44
1516,034.3.1.5.1.60
1516,034.3.1.5.1.70
1516,034.3.1.5.2.51
1527,034.1.5.6.20
1516,034.3.1.5.2.52
1516,034.3.1.5.2.61
1516,034.3.1.5.2.62
1516,034.3.1.5.2.63
1516,034.3.1.5.2.64
1516,034.3.1.5.2.65
1516,034.3.1.5.2.69
1516,034.3.1.5.2.85
1504,034.4.1.3.9.50
1527,034.1.5.6.30
1517,034.4.1.5.1.25
1517,034.4.1.5.1.32
1517,034.4.1.5.1.33
1517,034.4.1.5.1.41
1517,034.4.1.5.1.42
1517,034.4.1.5.1.43
1517,034.4.1.5.1.44
1517,034.4.1.5.1.60
1517,034.4.1.5.2.51
1517,034.4.1.5.2.52
1527,034.1.5.6.40
1517,034.4.1.5.2.61
1517,034.4.1.5.2.62
1517,034.4.1.5.2.63
1517,034.4.1.5.2.64
1517,034.4.1.5.2.65
1517,034.4.1.5.2.69
1517,034.4.1.5.2.85
1515,034.2.5.2.61
1514,034.1.5.3.40
1527,034.1.5.6.50
1514,034.1.5.3.50
1514,034.1.5.3.70
1515,034.2.5.1.25
1515,034.2.5.3.20
1515,034.2.5.3.30
1515,034.2.5.3.40
1515,034.2.5.3.50
1515,034.2.5.3.60
1515,034.2.5.3.70
1501,034.1.3.9.20
1527,034.1.5.6.60
1501,034.1.3.9.40
1501,034.1.4.3.60
1514,034.1.5.2.66
1527,034.1.5.7.01
1514,034.1.5.8.80
1515,034.2.5.2.66
1553,036.0.1.3.4.10
1554,036.0.1.4.4.10
1529,034.3.1.5.6.80
1527,034.1.5.6.80
1553,036.0.1.3.3.19
1530,034.4.1.5.6.80
1553,036.0.1.3.3.29
1553,036.0.1.3.3.32
1553,036.0.1.3.3.39
1553,036.0.1.3.3.41
1553,036.0.1.3.3.42
1527,034.1.5.6.90
1553,036.0.1.3.3.49
1553,036.0.1.3.3.92
1553,036.0.1.3.3.99
1554,036.0.1.4.1.10
1554,036.0.1.4.1.90
1554,036.0.1.4.3.19
1514,034.1.5.4.13
1554,036.0.1.4.3.29
1554,036.0.1.4.3.32
1554,036.0.1.4.3.39
1554,036.0.1.4.3.41
1554,036.0.1.4.3.42
1554,036.0.1.4.3.49
1554,036.0.1.4.3.92
1501,034.1.4.2.10
1527,034.1.5.7.61
1554,036.0.1.4.3.99
1501,034.1.2.1.10
1514,034.1.5.8.60
1515,034.2.5.8.60
1516,034.3.1.5.8.60
1517,034.4.1.5.8.60
