"geographicAreaM49_fi","measuredItemFaostat_L2","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"36","1501","5510","1961.0",600,"","-"
"36","1501","5510","1962.0",600,"","-"
"36","1501","5510","1963.0",600,"","-"
"36","1501","5510","1964.0",500,"","-"
"36","1501","5510","1965.0",800,"","-"
"36","1501","5510","1966.0",800,"","-"
"36","1501","5510","1967.0",900,"","-"
"36","1501","5510","1968.0",1000,"","-"
"36","1501","5510","1969.0",1300,"","-"
"36","1501","5510","1970.0",900,"","-"
"36","1501","5510","1971.0",1100,"","-"
"36","1501","5510","1972.0",1500,"","-"
"36","1501","5510","1973.0",2100,"","-"
"36","1501","5510","1974.0",2107,"","-"
"36","1501","5510","1975.0",2368,"","-"
"36","1501","5510","1976.0",2586,"","-"
"36","1501","5510","1977.0",3278,"","-"
"36","1501","5510","1978.0",3310,"","-"
"36","1501","5510","1979.0",3116,"","-"
"36","1501","5510","1980.0",3214,"","-"
"36","1501","5510","1981.0",3267,"","-"
"36","1501","5510","1982.0",3923,"","-"
"36","1501","5510","1983.0",3695,"","-"
"36","1501","5510","1984.0",4485,"","-"
"36","1501","5510","1985.0",3988,"E","f"
"36","1501","5510","1986.0",3647,"","-"
"36","1501","5510","1987.0",4821,"","-"
"36","1501","5510","1988.0",6237,"","-"
"36","1501","5510","1989.0",7435,"","-"
"36","1501","5510","1990.0",8013,"","-"
"36","1501","5510","1991.0",9005,"","-"
"36","1501","5510","1992.0",10667,"","-"
"36","1501","5510","1993.0",10376,"","-"
"36","1501","5510","1994.0",8342,"","-"
"36","1501","5510","1995.0",10541,"","-"
"36","1501","5510","1996.0",12566,"","-"
"36","1501","5510","1997.0",12746,"","-"
"36","1501","5510","1998.0",12456,"","-"
"36","1501","5510","1999.0",14186,"","-"
"36","1501","5510","2000.0",16245,"","-"
"36","1501","5510","2001.0",18286,"","-"
"36","1501","5510","2002.0",20087,"","-"
"36","1501","5510","2003.0",19538,"","-"
"36","1501","5510","2004.0",20628,"","-"
"36","1501","5510","2005.0",21406,"","-"
"36","1501","5510","2006.0",25757,"","-"
"36","1501","5510","2007.0",31548,"","-"
"36","1501","5510","2008.0",32680,"","-"
"36","1501","5510","2009.0",37111,"","-"
"36","1501","5510","2010.0",39651,"","-"
"36","1501","5510","2011.0",45189,"","-"
"36","1501","5510","2012.0",52799,"","-"
"36","1501","5510","2013.0",50168,"","-"
"36","1501","5510","2014.0",48594,"","-"
"36","1501","5510","2015.0",55465,"","-"
"36","1501","5510","2016.0",63031,"","-"
"36","1501","5510","2017.0",60505,"","-"
"36","1501","5610","1988.0",0,"","-"
"36","1501","5610","1989.0",6,"","-"
"36","1501","5610","1990.0",76,"","-"
"36","1501","5610","1991.0",4,"","-"
"36","1501","5610","1992.0",13,"","-"
"36","1501","5610","1993.0",5,"","-"
"36","1501","5610","1994.0",19,"","-"
"36","1501","5610","1995.0",52,"","-"
"36","1501","5610","1996.0",23,"","-"
"36","1501","5610","1997.0",0,"","-"
"36","1501","5610","1998.0",0,"","-"
"36","1501","5610","1999.0",0,"","-"
"36","1501","5610","2000.0",166,"","-"
"36","1501","5610","2001.0",456,"","-"
"36","1501","5610","2002.0",308,"","-"
"36","1501","5610","2003.0",559,"","-"
"36","1501","5610","2004.0",482,"","-"
"36","1501","5610","2005.0",491,"","-"
"36","1501","5610","2006.0",579,"","-"
"36","1501","5610","2007.0",764,"","-"
"36","1501","5610","2008.0",626,"","-"
"36","1501","5610","2009.0",594,"","-"
"36","1501","5610","2010.0",1265,"","-"
"36","1501","5610","2011.0",641,"","-"
"36","1501","5610","2012.0",537,"","-"
"36","1501","5610","2013.0",696,"","-"
"36","1501","5610","2014.0",568,"","-"
"36","1501","5610","2015.0",450,"","-"
"36","1501","5610","2016.0",865,"","-"
"36","1501","5610","2017.0",8752,"","-"
"36","1501","5622","1988.0",614,"","-"
"36","1501","5622","1989.0",1403,"","-"
"36","1501","5622","1990.0",2275,"","-"
"36","1501","5622","1991.0",1854,"","-"
"36","1501","5622","1992.0",1948,"","-"
"36","1501","5622","1993.0",1743,"","-"
"36","1501","5622","1994.0",1688,"","-"
"36","1501","5622","1995.0",1680,"","-"
"36","1501","5622","1996.0",1452,"","-"
"36","1501","5622","1997.0",0,"","-"
"36","1501","5622","1998.0",0,"","-"
"36","1501","5622","1999.0",0,"","-"
"36","1501","5622","2000.0",869,"","-"
"36","1501","5622","2001.0",2139,"","-"
"36","1501","5622","2002.0",1480,"","-"
"36","1501","5622","2003.0",2798,"","-"
"36","1501","5622","2004.0",2850,"","-"
"36","1501","5622","2005.0",3423,"","-"
"36","1501","5622","2006.0",3556,"","-"
"36","1501","5622","2007.0",6422,"","-"
"36","1501","5622","2008.0",5260,"","-"
"36","1501","5622","2009.0",4041,"","-"
"36","1501","5622","2010.0",9342,"","-"
"36","1501","5622","2011.0",6712,"","-"
"36","1501","5622","2012.0",6375,"","-"
"36","1501","5622","2013.0",8174,"","-"
"36","1501","5622","2014.0",6922,"","-"
"36","1501","5622","2015.0",6216,"","-"
"36","1501","5622","2016.0",9883,"","-"
"36","1501","5622","2017.0",13104,"","-"
"36","1501","5637","1989.0",233.833333,"I","i"
"36","1501","5637","1990.0",29.934211,"I","i"
"36","1501","5637","1991.0",463.5,"I","i"
"36","1501","5637","1992.0",149.846154,"I","i"
"36","1501","5637","1993.0",348.6,"I","i"
"36","1501","5637","1994.0",88.842105,"I","i"
"36","1501","5637","1995.0",32.307692,"I","i"
"36","1501","5637","1996.0",63.130435,"I","i"
"36","1501","5637","2000.0",5.23494,"I","i"
"36","1501","5637","2001.0",4.690789,"I","i"
"36","1501","5637","2002.0",4.805195,"I","i"
"36","1501","5637","2003.0",5.005367,"I","i"
"36","1501","5637","2004.0",5.912863,"I","i"
"36","1501","5637","2005.0",6.971487,"I","i"
"36","1501","5637","2006.0",6.141623,"I","i"
"36","1501","5637","2007.0",8.405759,"I","i"
"36","1501","5637","2008.0",8.402556,"I","i"
"36","1501","5637","2009.0",6.80303,"I","i"
"36","1501","5637","2010.0",7.38498,"I","i"
"36","1501","5637","2011.0",10.471139,"I","i"
"36","1501","5637","2012.0",11.871508,"I","i"
"36","1501","5637","2013.0",11.744253,"I","i"
"36","1501","5637","2014.0",12.18662,"I","i"
"36","1501","5637","2015.0",13.813333,"I","i"
"36","1501","5637","2016.0",11.425434,"I","i"
"36","1501","5637","2017.0",1.497258,"I","i"
"36","1501","5910","1989.0",257,"","-"
"36","1501","5910","1990.0",848,"","-"
"36","1501","5910","1991.0",1575,"","-"
"36","1501","5910","1992.0",506,"","-"
"36","1501","5910","1993.0",1554,"","-"
"36","1501","5910","1994.0",3541,"","-"
"36","1501","5910","1995.0",3913,"","-"
"36","1501","5910","1996.0",4387,"","-"
"36","1501","5910","1997.0",4023,"","-"
"36","1501","5910","1998.0",2696,"","-"
"36","1501","5910","1999.0",3103,"","-"
"36","1501","5910","2000.0",2465,"","-"
"36","1501","5910","2001.0",3088,"","-"
"36","1501","5910","2002.0",2723,"","-"
"36","1501","5910","2003.0",1255,"","-"
"36","1501","5910","2004.0",1423,"","-"
"36","1501","5910","2005.0",1514,"","-"
"36","1501","5910","2006.0",873,"","-"
"36","1501","5910","2007.0",3037,"","-"
"36","1501","5910","2008.0",4315,"","-"
"36","1501","5910","2009.0",5688,"","-"
"36","1501","5910","2010.0",5777,"","-"
"36","1501","5910","2011.0",5893,"","-"
"36","1501","5910","2012.0",3692,"","-"
"36","1501","5910","2013.0",2574,"","-"
"36","1501","5910","2014.0",2162,"","-"
"36","1501","5910","2015.0",9416,"","-"
"36","1501","5910","2016.0",3622,"","-"
"36","1501","5910","2017.0",13059,"","-"
"36","1501","5922","1989.0",2656,"","-"
"36","1501","5922","1990.0",8773,"","-"
"36","1501","5922","1991.0",14077,"","-"
"36","1501","5922","1992.0",5159,"","-"
